x,y,age,number
-114.1020098,50.94020051,33,1
-113.4903694,53.54624099,99,1
-113.5668553,53.4599158,97,1
-114.6799004,55.1908651,95,1
-113.6088929,53.52164208,94,1
-113.6088952,53.5213812,94,1
-113.5208903,53.52045484,93,1
-113.5208948,53.52045017,93,1
-113.560415,53.46515745,93,2
-113.2562056,53.52724643,91,1
-113.5701845,53.45209561,90,3
-113.6339075,53.50426517,90,1
-119.4153771,55.20894664,90,1
-113.5102698,53.51231771,89,1
-113.5445858,53.55591052,88,1
-113.486174,53.52136643,88,2
-113.5130288,53.54090336,88,1
-113.7815522,52.25577679,88,1
-113.8334795,52.26223398,88,2
-113.5445858,53.55591052,88,1
-113.4037639,53.48253454,88,1
-112.0824197,53.50408104,87,1
-112.1201891,53.82777007,87,1
-113.5130288,53.54090336,87,1
-112.4681396,55.19950063,87,2
-113.2832093,54.72129034,87,1
-113.5130288,53.54090336,87,1
-113.5143729,53.54097279,86,1
-113.4934335,53.63010123,86,1
-113.6088952,53.5213812,86,1
-110.3288642,53.34002192,86,1
-113.5130288,53.54090336,85,1
-113.5130288,53.54090336,85,1
-113.5130288,53.54090336,85,1
-113.4965389,53.55586708,85,1
-111.1270899,55.65239074,85,2
-114.1202548,51.00427593,84,1
-113.5084134,53.53846022,84,1
-113.5722155,53.44486134,84,1
-113.4402992,53.59319779,84,2
-113.4965389,53.55586708,84,1
-114.0610708,50.98776584,83,2
-113.4901588,53.52503918,83,2
-113.4445235,53.54567984,83,2
-113.4445235,53.54567984,83,1
-113.6377457,53.54142044,83,1
-113.684786,53.51697183,83,2
-113.6372675,53.54139733,83,2
-113.684786,53.51697183,83,2
-113.5118491,53.62347357,83,2
-112.8048393,54.58728103,82,1
-110.3288642,53.34002192,82,1
-113.4000885,53.60116608,82,1
-113.5130288,53.54090336,82,1
-113.2574951,53.51648236,82,2
-114.1523383,53.3565135,82,1
-111.9896865,54.76556795,82,1
-113.6183686,53.55958901,82,2
-112.8984321,49.69533048,81,1
-113.6088952,53.5213812,81,1
-112.1201891,53.82777007,81,2
-114.7584207,55.28500363,81,1
-113.5243776,53.56771345,81,1
-112.8984321,49.69533048,81,1
-113.6088952,53.5213812,81,1
-113.91946,54.35222085,81,4
-113.5396995,53.59640338,81,1
-113.1125022,53.95667802,81,1
-113.9908316,53.07383249,80,2
-112.5109759,55.0821349,80,2
-111.480325,54.16470354,80,2
-112.8048393,54.58728103,80,1
-112.4664097,50.78587046,80,1
-113.2991763,53.54644973,80,2
-112.8048393,54.58728103,80,1
-113.5461828,53.55492113,80,1
-113.4903698,53.5462403,80,1
-112.8269309,52.99882535,80,2
-113.4766586,53.6420446,79,1
-113.4766586,53.6420446,79,1
-113.6088929,53.52164208,79,1
-110.2062515,54.39217899,79,1
-113.2570046,54.71453313,79,1
-110.2062515,54.39217899,79,1
-115.3355133,51.08552563,79,1
-113.5130288,53.54090336,78,1
-113.5130288,53.54090336,78,1
-113.6116891,53.57055102,78,1
-113.4298821,53.54125726,78,1
-113.5130288,53.54090336,78,1
-111.0951649,55.62536595,78,3
-113.3893513,53.48042437,78,1
-111.0412958,56.43138567,78,1
-113.4869095,53.55044188,78,1
-113.3299058,53.81377336,78,2
-113.5178597,53.55771778,78,2
-113.4572496,53.61449375,77,2
-112.4681396,55.19950063,77,2
-111.9744491,54.77110028,77,1
-112.4681396,55.19950063,77,1
-113.9347457,53.51263984,77,1
-113.5120729,53.54485884,77,1
-113.3971207,53.92871712,77,1
-113.4304597,53.54122758,77,1
-113.4991837,53.55280011,77,1
-113.3885588,53.57346549,77,2
-114.25569,51.15000397,77,1
-113.8791651,53.56079263,77,2
-113.6669199,53.50527275,77,1
-113.6857664,53.52506265,77,1
-113.506533,53.54159991,77,1
-114.0594854,51.0787051,77,1
-113.9635029,53.53316917,77,2
-113.2817499,53.54683762,77,2
-114.1185004,51.16438256,77,2
-111.9744491,54.77110028,77,1
-113.4973147,53.5376209,77,1
-113.6826403,53.48507286,77,2
-113.5219292,53.54304844,77,1
-113.2817499,53.54683762,77,2
-113.5342296,53.59231822,76,1
-111.0951649,55.62536595,76,1
-113.5224103,53.56665367,76,1
-114.0027479,50.97588078,76,2
-111.9671194,54.77385683,76,1
-113.4943729,53.53927369,76,1
-115.3407731,51.08379231,76,3
-113.2759192,53.55313374,76,3
-113.4298744,53.35546273,76,2
-114.1019164,51.79540272,76,1
-111.9744491,54.77110028,76,1
-113.542976,53.25876,76,1
-113.9971986,53.51605773,75,2
