x,y,age,number,r
-114.1020098,50.94020051,33,1,0.67901905
-113.4903694,53.54624099,99,1,0.886444353
-113.5668553,53.4599158,97,1,0.722181616
-114.6799004,55.1908651,95,1,0.056895571
-113.6088929,53.52164208,94,1,0.695146376
-113.6088952,53.5213812,94,1,0.482141821
-113.5208903,53.52045484,93,1,0.254400139
-113.5208948,53.52045017,93,1,0.617653055
-113.560415,53.46515745,93,2,0.821264113
-113.2562056,53.52724643,91,1,0.055005093
-113.5701845,53.45209561,90,3,0.638884209
-113.6339075,53.50426517,90,1,0.296684582
-119.4153771,55.20894664,90,1,0.419965641
-113.5102698,53.51231771,89,1,0.534025737
-113.5445858,53.55591052,88,1,0.690447267
-113.486174,53.52136643,88,2,0.065356079
-113.5130288,53.54090336,88,1,0.934624699
-113.7815522,52.25577679,88,1,0.714341675
-113.8334795,52.26223398,88,2,0.426849501
-113.5445858,53.55591052,88,1,0.463476919
-113.4037639,53.48253454,88,1,0.03461841
-112.0824197,53.50408104,87,1,0.786874954
-112.1201891,53.82777007,87,1,0.978832822
-113.5130288,53.54090336,87,1,0.43271006
-112.4681396,55.19950063,87,2,0.951322928
-113.2832093,54.72129034,87,1,0.306031968
-113.5130288,53.54090336,87,1,0.028742647
-113.5143729,53.54097279,86,1,0.641875358
-113.4934335,53.63010123,86,1,0.907947732
-113.6088952,53.5213812,86,1,0.346873648
-110.3288642,53.34002192,86,1,0.435321142
-113.5130288,53.54090336,85,1,0.61787575
-113.5130288,53.54090336,85,1,0.786500753
-113.5130288,53.54090336,85,1,0.874222362
-113.4965389,53.55586708,85,1,0.026706158
-111.1270899,55.65239074,85,2,0.843212106
-114.1202548,51.00427593,84,1,0.262188438
-113.5084134,53.53846022,84,1,0.755911503
-113.5722155,53.44486134,84,1,0.549160124
-113.4402992,53.59319779,84,2,0.90721228
-113.4965389,53.55586708,84,1,0.780804158
-114.0610708,50.98776584,83,2,0.9953302
-113.4901588,53.52503918,83,2,0.64489046
-113.4445235,53.54567984,83,2,0.106663143
-113.4445235,53.54567984,83,1,0.330027605
-113.6377457,53.54142044,83,1,0.777598436
-113.684786,53.51697183,83,2,0.528329898
-113.6372675,53.54139733,83,2,0.340847058
-113.684786,53.51697183,83,2,0.259511101
-113.5118491,53.62347357,83,2,0.546230752
-112.8048393,54.58728103,82,1,0.623423205
-110.3288642,53.34002192,82,1,0.550453877
-113.4000885,53.60116608,82,1,0.083861237
-113.5130288,53.54090336,82,1,0.840244574
-113.2574951,53.51648236,82,2,0.120139883
-114.1523383,53.3565135,82,1,0.109086211
-111.9896865,54.76556795,82,1,0.072372202
-113.6183686,53.55958901,82,2,0.857425824
-112.8984321,49.69533048,81,1,0.160018577
-113.6088952,53.5213812,81,1,0.441676228
-112.1201891,53.82777007,81,2,0.539571756
-114.7584207,55.28500363,81,1,0.275412046
-113.5243776,53.56771345,81,1,0.282606815
-112.8984321,49.69533048,81,1,0.280670085
-113.6088952,53.5213812,81,1,0.046363847
-113.91946,54.35222085,81,4,0.356334743
-113.5396995,53.59640338,81,1,0.382646847
-113.1125022,53.95667802,81,1,0.638554225
-113.9908316,53.07383249,80,2,0.117148709
-112.5109759,55.0821349,80,2,0.655780364
-111.480325,54.16470354,80,2,0.154505179
-112.8048393,54.58728103,80,1,0.834303831
-112.4664097,50.78587046,80,1,0.054386888
-113.2991763,53.54644973,80,2,0.069717352
-112.8048393,54.58728103,80,1,0.023080234
-113.5461828,53.55492113,80,1,0.316750906
-113.4903698,53.5462403,80,1,0.854924064
-112.8269309,52.99882535,80,2,0.775274073
-113.4766586,53.6420446,79,1,0.215327029
-113.4766586,53.6420446,79,1,0.817159501
-113.6088929,53.52164208,79,1,0.952167399
-110.2062515,54.39217899,79,1,0.829767519
-113.2570046,54.71453313,79,1,0.356148672
-110.2062515,54.39217899,79,1,0.638598827
-115.3355133,51.08552563,79,1,0.320668595
-113.5130288,53.54090336,78,1,0.229611848
-113.5130288,53.54090336,78,1,0.955220753
-113.6116891,53.57055102,78,1,0.685843955
-113.4298821,53.54125726,78,1,0.319690395
-113.5130288,53.54090336,78,1,0.504786053
-111.0951649,55.62536595,78,3,0.171224352
-113.3893513,53.48042437,78,1,0.718445164
-111.0412958,56.43138567,78,1,0.593018723
-113.4869095,53.55044188,78,1,0.473486418
-113.3299058,53.81377336,78,2,0.554358552
-113.5178597,53.55771778,78,2,0.568988754
-113.4572496,53.61449375,77,2,0.730329899
-112.4681396,55.19950063,77,2,0.748549042
-111.9744491,54.77110028,77,1,0.233717775
